Open,High,Low,Close,Adj Close,Volume,Daily_Return,Log_Return,Price_Range,MA_7,MA_30,MA_90,Volatility_30,Volume_MA_30,Day_of_Week,Month,Quarter,Year,Close_Diff
61.07,61.07143,59.964287,60.042858,51.885387,103493600,-1.7416975620457187,-0.01757043562362848,1.1071430000000007,52.30000142857143,,,,,4,1,1,2012,-0.9197050000000004
60.381428,61.207142,60.328571,61.058571,52.763115,76515600,1.6916670583954518,0.016775177213824925,0.8785710000000009,52.385712285714284,,,,,0,1,1,2012,0.8777279999999976
60.728573,60.728573,59.935715,60.058571,51.898972,136909500,-1.6377785883187501,-0.016513384392469535,0.7928579999999954,52.368429,,,,,1,1,1,2012,-0.8641429999999986
64.919998,64.921425,63.389999,63.808571,55.139496,239578500,6.243907875477772,0.06056728253000723,1.5314259999999962,52.841943,,,,,2,1,1,2012,3.2405240000000006
64.05143,64.112854,63.305714,63.51857,54.888889,80996300,-0.4544963559333315,-0.004555323307915364,0.8071399999999969,53.193418285714294,,,,,3,1,1,2012,-0.25060700000000224
63.477142,64.068573,63.395714,63.897144,55.216022,74927300,0.5959912943401147,0.005942222914809927,0.6728590000000025,53.51385328571429,,,,,4,1,1,2012,0.32713300000000345
63.672855,64.842857,63.627144,64.715714,55.923389,94835300,1.2810901154740817,0.01272953573328277,1.2157129999999938,53.95932428571429,,,,,0,1,1,2012,0.7073669999999979
65.084282,65.46286,64.724289,65.211426,56.351761,97920900,0.7659979261986471,0.007630790582531663,0.7385710000000074,54.59737771428571,,,,,1,1,1,2012,0.4283720000000031
65.487144,65.57,65.078575,65.169998,56.315968,67511500,-0.06351709221652513,-0.0006353727286743758,0.49142499999999245,55.10492814285715,,,,,2,2,1,2012,-0.03579300000000529
65.128571,65.309998,64.854286,65.017143,56.183865,46699100,-0.23457467693710488,-0.002348502343420095,0.45571199999999124,55.71705571428571,,,,,3,2,1,2012,-0.13210300000000075
65.328575,65.714287,65.080002,65.668571,56.746796,71649900,1.0019442414650692,0.009969580583386572,0.6342850000000055,55.94667,,,,,4,2,1,2012,0.5629310000000061
65.482857,66.425713,65.457146,66.281425,57.276386,62353200,0.9332509275061129,0.009289230468576866,0.9685670000000073,56.287741,,,,,0,2,1,2012,0.5295899999999989
66.464287,67.10714,66.368568,66.975716,57.876339,79055900,1.0474700690787264,0.010420221121390037,0.7385720000000049,56.667786285714286,,,,,1,2,1,2012,0.5999529999999993
67.214287,68.112854,67.099998,68.097145,58.845402,101972500,1.6743681731492988,0.01660505160491309,1.0128559999999993,57.085216714285714,,,,,2,2,1,2012,0.9690629999999985
68.68,70.964287,68.651428,70.452858,60.881111,221053700,3.459418970406558,0.03400926258858276,2.312859000000003,57.73226671428571,,,,,3,2,1,2012,2.035708999999997
70.137146,71.08857,69.792854,70.488571,60.911942,157825500,0.05064132288914447,0.0005062850449864376,1.2957159999999988,58.38883442857143,,,,,4,2,1,2012,0.03083100000000627
71.361427,71.975716,71.012856,71.800003,62.0452,129304000,1.86048574842681,0.0184339042418661,0.9628600000000063,59.22616800000001,,,,,0,2,1,2012,1.1332579999999979
72.094284,72.794289,71.714287,72.779999,62.892056,115099600,1.364901716812894,0.013556708334721989,1.0800020000000075,60.104062285714285,54.9373678,,,92249616.66666667,1,2,1,2012,0.8468559999999954
73.465714,75.184288,70.984283,71.095711,61.4366,376530000,-2.314212783884817,-0.023414111256431735,4.20000499999999,60.69837857142857,55.29306416666667,,1.5726161368623566,102282110.0,2,2,1,2012,-1.455455999999998
70.214287,72.127144,69.51857,71.744286,61.997032,236138000,0.9122119388117245,0.009080764164981865,2.6085740000000044,61.287049,55.65834736666667,,1.5731820016854547,107986526.66666667,3,2,1,2012,0.5604319999999987
71.872856,72.538574,71.471428,71.73143,61.985954,133951300,-0.01786859732252344,-0.00017870193946573857,1.067145999999994,61.73569928571428,56.004373333333334,,1.5755840665434806,110190990.0,4,2,1,2012,-0.0110779999999977
72.41143,73.550003,72.017143,73.550003,63.557446,151398800,2.5352388704060314,0.025036347364424373,1.5328599999999994,62.11803285714286,56.38480053333333,,1.6123556377975456,112585176.66666667,1,2,1,2012,1.5714919999999992
73.297142,73.641426,72.724289,73.291428,63.334015,120825600,-0.35154181620198344,-0.003521611764107909,0.9171369999999968,62.46404328571428,56.76053663333333,,1.6161727023311696,113329160.0,2,2,1,2012,-0.22343099999999794
73.582855,73.975716,72.785713,73.769997,63.747555,142006900,0.6529508669235629,0.006508283769517371,1.1900030000000044,62.70723685714285,57.14384403333334,,1.6151200054465962,115911086.66666667,3,2,1,2012,0.4135399999999976
74.238571,74.699997,74.091431,74.629997,64.49073,103768000,1.1658094181023815,0.011590662180785423,0.6085659999999962,62.935618857142856,57.55476373333333,,1.609480600156086,117577646.66666667,4,2,1,2012,0.7431750000000008
74.472855,75.5,73.754288,75.108574,64.904282,136895500,0.641258053676852,0.006392107419263058,1.7457119999999975,63.431002,57.9842413,,1.5985776774025355,120369270.0,0,2,1,2012,0.4135519999999957
75.422859,76.487144,75.121429,76.487144,66.095551,150096800,1.835424356131088,0.018187837520061905,1.3657149999999945,64.01650471428572,58.459929733333325,,1.5957580122065398,123488983.33333333,1,2,1,2012,1.1912690000000055
77.365715,78.230003,76.528572,77.491432,66.963387,238002800,1.3130021413997994,0.013044569857270802,1.7014309999999995,64.72756657142857,58.9444239,,1.5970712789105495,129398266.66666667,2,2,1,2012,0.8678359999999969
78.309998,78.315712,76.96714,77.781425,67.213989,170817500,0.3742373425645207,0.0037353881684198246,1.3485720000000043,65.24992985714286,59.4191243,,1.5987010281805047,132785590.0,3,3,1,2012,0.25060200000000066
77.748573,78.114288,77.502853,77.882858,67.301636,107928100,0.13039993802481664,0.0013031499114473245,0.6114350000000002,65.81673285714285,59.902342433333324,,1.5898998419126218,134202040.0,4,3,1,2012,0.08764700000000403
77.917145,78.211426,75.14286,76.165718,65.817802,202281100,-2.2047517537315153,-0.022294196566651527,3.068566000000004,66.11248242857143,60.36675626666667,,1.6176710114878299,137494956.66666666,0,3,1,2012,-1.4838340000000017
74.808571,76.241432,73.745712,75.751427,65.459801,202559700,-0.543927310121961,-0.005454119808491933,2.4957200000000057,66.25092114285714,60.789979133333325,,1.6270461498720483,141696426.66666666,1,3,1,2012,-0.35800100000000157
